,Stars,Text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
0,1, noble easy press sometimes spray water sometimes difficult noble easy press sometimes spray water sometimes difficult,12,2,0,0,17,118,6.4,0.17777777777777778,0.9111111111111111
1,5, make skin feel smooth soft feel great,1,0,0,0,8,38,4.4,0.43333333333333335,0.5333333333333333
2,1, broken come item come broken spray can use without spray thing unable return,9,4,0,1,14,77,4.9,-0.43333333333333335,0.43333333333333335
3,5, great love stuff especially hot day tool face instantly mainly hyaluronic acid morning wash face can not put hyaluronic acid onto dry skin wait minute two spray face apply pat face dry minute like say besides wait long would dry face already super,32,14,2,7,44,248,4.8,0.2277777777777778,0.6166666666666667
4,5, love medium could load good price size can not wait,7,2,0,0,11,52,4.2,0.6,0.6000000000000001
5,5, good stuff try you enjoy experience say expensive water say feel great refresh tool soothe great addition beauty routine especially summer much appreciate fresh burst moisture,12,9,0,1,27,176,5.8,0.3375,0.625
6,5, feel feel super soothe spray much little go long way,4,0,0,0,11,53,4.3,0.031944444444444435,0.5222222222222221
7,1, damageddirty arrive damage dirty lid miss disappointed,3,5,0,0,8,55,6.9,-0.675,0.775
8,5, amaze fresh nice amaze recommend people oily skin leaf face soft nice tone happy,13,9,0,1,15,81,4.8,0.48,0.77
9,5, love best thermal water use,2,0,0,0,6,28,4.6,0.75,0.44999999999999996
10,1, security seal come without seal wrap around cap know safe genuine,6,2,0,1,12,66,5.0,0.45,0.5
11,5, good useful gentle baby skin u good,4,3,0,0,8,36,4.1,0.475,0.5
12,5, perfect good,0,0,0,0,3,13,5.5,0.85,0.8
13,5, five star best thermal water,0,1,0,0,6,29,4.8,1.0,0.3
14,1, order lid smash noble keep come water problem box obviously broken sent disgust platform doesn give return,19,6,0,1,18,107,5.3,0.09999999999999998,0.65
15,2, little dry little bit dry,6,0,0,0,6,26,4.2,-0.12708333333333333,0.55
16,5, good love really helpful,1,2,0,0,5,25,5.2,0.4666666666666666,0.46666666666666673
17,5, wouldn without try many thermal water far favourite spray face body moisturise warm weather go bed middle night spirit wake feel hot buy large much economical last age,23,10,0,4,29,168,5.0,0.24553571428571427,0.5431547619047619
18,5, good refresh,0,0,0,0,3,13,5.5,0.7,0.6000000000000001
19,1, good value money think good value money consider pure water look ingredient list water ingredientokay absolutely nothing skin see soothe protects skin,24,8,0,2,23,151,5.9,0.4535714285714285,0.65
20,1, recommend noble broken day noble broken couple day bottle still almost full empty simply waste money,10,1,0,0,17,101,5.3,0.06428571428571427,0.5214285714285715
21,5, love great face,2,0,0,1,4,16,4.3,0.65,0.675
22,5, refresh spray sensitive skin irritation,5,0,0,1,6,40,7.0,0.1,0.9
23,4, lovely sensitive skin,0,0,0,0,4,22,6.3,0.3,0.825
24,5, love great close open eye,3,0,0,0,6,26,4.2,0.43333333333333335,0.6166666666666667
25,5, good love love love,0,0,0,0,5,20,4.0,0.55,0.6000000000000001
26,1, one best thermal water spray much give bought x subsequently discover double price anywhere else,10,4,0,1,16,97,5.5,0.3,0.1375
27,5, exactly say tin great water base spray good mist heavy face water end day best one find buy easily amazon high street,24,5,0,1,23,118,4.4,0.2929166666666667,0.5966666666666667
28,1, noble immediately broke probably good noble broke soon press never able thermal water disappointed still completely full,14,2,0,3,18,121,6.1,0.20833333333333334,0.7208333333333333
29,5, good morning never wash face wake instead natural refresh spray avoid mass artificial tax water,8,2,0,1,16,96,5.4,0.06666666666666665,0.6666666666666666
30,1, item come broken cap broken half pack damage though sure content still good face,16,8,0,0,15,81,4.8,0.046666666666666655,0.49111111111111116
31,5, perfect love,3,1,0,0,3,13,5.5,0.75,0.8
