,Stars,Text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
0,1, great cheap pack half bottle spray broke,3,1,0,0,8,41,4.9,0.3444444444444445,0.5388888888888889
1,5, love love,2,0,0,1,3,10,4.0,0.5,0.6
2,5, excellent water face fresh good,4,1,0,0,6,32,5.4,0.6666666666666666,0.7000000000000001
3,4, good thermal water spray great extra moisture,1,1,0,0,8,46,5.6,0.5,0.4833333333333334
4,5, great size bag thermal water perfect everyday size perfect work purse,8,0,0,0,12,70,5.4,0.65,0.8375
5,5, nice mineral water supra love it face morning wake instead splash water face,0,1,0,22,14,77,4.9,0.55,0.8
6,1, spray defective waste spray get plug week way,9,2,0,0,9,46,4.7,-0.2,0.0
7,1, thermal water bought part make routine impressed cold mineral water,11,3,0,2,11,68,5.8,0.2,1.0
8,3, poor pack great love water unfordable alternative avenue bottle prayer flog can clean way get water take cap mentally push aerosol opening let water pool top recess pour hand see lot review state problem think ill stick small size future get entire content prayer clot,43,9,0,6,46,269,5.0,0.09166666666666665,0.55
9,5, nice good like order second time nice face soft shine thank much recommend every one best,10,0,0,0,17,90,4.6,0.4571428571428572,0.4928571428571429
10,5, soothe skin aid moisturizer application mineral water spray recommend aesthetician would finish treatment spray sensitive skin apply moisturizer say well use tone could irritate skin suggestion spray face neck spray palm put small amount moisturizer palm rub hand together pat moisturizer face moisturizer apply evenly less,41,8,0,1,47,324,6.0,-0.10555555555555556,0.45555555555555555
11,3, sure make difference skin nice face mist never see great difference use face mist one doesn make difference however good active ingredient nice spray face help wake morning,20,6,0,1,29,173,5.2,0.5111111111111112,0.8064814814814815
12,3, well spray noble need spray part sustainable longer spray well spray hand first apply face apart good really hydrate skin,14,4,0,1,21,122,5.1,0.43749999999999994,0.5083333333333334
13,5, great good in happy recommend fresh,3,4,0,0,7,36,5.0,0.6499999999999999,0.7125
14,5, nice good humid summer day however want make set spray doesn work move make love day make free want mid day skin hydration,13,4,0,3,24,123,4.3,0.43999999999999995,0.6
15,5, rich thermal water spray nice thermal water refresh hot weather,2,2,0,0,11,64,5.4,0.4083333333333334,0.8666666666666667
16,5, great sensitive skin great rep skin seal make,4,0,0,0,9,46,4.7,0.5666666666666668,0.7999999999999999
17,5, skin look fresh glow life save literally spray throughout day ski feel bit dry shower sleep get much well totally recommend sensitive skin worth price quality,15,11,0,2,27,159,5.1,0.13888888888888887,0.5083333333333333
18,5, good good,0,0,0,0,3,10,4.0,0.7,0.6000000000000001
19,5, good good,0,0,0,0,3,10,4.0,0.7,0.6000000000000001
20,5, must item can live without mist especially shave,3,2,0,1,9,49,5.1,0.06818181818181818,0.75
21,3, expect spray doesn spread smoothly,1,1,0,1,6,35,6.0,0.4,0.5
22,5, nice thing summer love refresh,4,1,0,1,6,31,5.2,0.55,0.8
23,5, useful wife like,1,1,0,0,4,17,4.7,0.3,0.0
24,5, refresh misty water surprise thought get small bottle love refresh misty everytime tool well love,10,3,0,3,16,98,5.5,0.25,0.5333333333333333
25,5, love refresh,1,2,0,0,3,13,5.5,0.5,0.6
26,2, container would five star container work aerosol spray stop work way end able go online couldn find anywhere contact seller get replacement,23,4,0,0,23,140,5.4,0.5,0.625
27,5, cool refresh refresh especially morning start daily make routine bottle work spray fine issue would recommend buy,12,2,0,1,18,114,5.7,0.19166666666666665,0.5375
28,5, good love,1,2,0,1,3,10,4.0,0.6,0.6000000000000001
29,1, dispense work bottle do way get water noble operative,8,4,0,0,10,54,5.0,0.6,0.9
